Date,AAPL,AMZN,BRK-B,GOOG,GOOGL,JNJ,MSFT,TSLA,UNH,XOM
8/4/2020,100.4982224,157.1051025,206.2106323,75.51799774,78.89511871,132.0237732,210.4109955,105.3482208,289.905365,37.47748566
8/5/2020,100.8713608,158.6537628,206.8139648,75.53705597,78.599823,131.3076935,209.7832642,107.0642624,289.1050415,37.97187805
8/6/2020,102.0332184,160.7434235,208.2323608,75.95257568,78.62734222,131.4234161,209.285675,110.7527771,290.2004089,38.52334976
8/7/2020,102.6793747,160.6920013,208.4105835,75.79885101,78.32121277,130.8960724,210.6747437,109.9766846,289.9632263,38.31206131
8/10/2020,102.4784698,160.1227417,207.852005,75.37934113,77.97657776,130.4842682,208.9423676,110.2771606,290.7372742,38.4738121
8/11/2020,102.326828,159.6295319,207.4871063,75.4082489,77.81308746,130.0683594,207.2979736,110.4736786,290.9070129,38.6751709
8/12/2020,102.0059891,158.4710388,206.6797638,75.23962402,77.55975342,129.4730835,206.1939392,109.0069504,290.6916809,38.627491
8/13/2020,103.2492981,161.3330231,208.8730011,76.18457794,78.015625,130.8706665,207.5217896,114.3323898,292.2914124,39.1440773
8/14/2020,103.5736313,161.4820099,208.0063019,75.96257782,77.90110016,130.3740997,207.5208588,114.4287643,292.6221008,39.07099533
8/17/2020,103.4171066,161.8229675,208.0007172,75.98209381,78.12821198,130.7438049,207.2886963,115.1003113,294.0263672,39.25907898
8/18/2020,103.4832993,162.7427673,207.445343,75.9931488,78.049263,130.9982452,206.8664856,117.6832123,294.1430359,39.30765915
8/19/2020,104.1482849,164.1526947,207.7023468,76.83319855,78.32182312,131.0004272,208.9850464,120.120163,291.7701111,39.12971497
8/20/2020,104.4062347,164.1226349,207.4375763,76.94152069,77.76300049,130.6692657,208.4563751,121.219986,290.1510925,39.00188828
8/21/2020,104.6186295,165.2791138,207.496521,77.33270264,78.17289734,131.228775,210.0786896,122.6829758,288.3664856,38.81892776
8/24/2020,105.3089371,165.8453369,207.0604553,77.47753143,77.90483856,130.9750671,210.5069122,124.2358093,286.9020691,38.50009918
8/25/2020,105.8899918,165.8094177,206.8331909,77.73595428,76.9389267,129.93573,210.2558899,124.2214203,285.2752075,38.32955551
8/26/2020,106.290123,166.3933105,208.0352478,77.84593201,77.0091629,130.1536102,211.6433411,123.9087753,286.223938,38.35229492
8/27/2020,106.7194366,166.9406738,209.0178528,78.33003235,76.25817108,129.4734497,211.8468018,124.0746307,285.3025818,38.0544281
8/28/2020,106.8835678,167.8699036,210.4050293,78.81380463,76.60062408,130.1254578,210.719574,125.614418,285.9334412,38.70950699
8/31/2020,107.4967117,168.9230804,211.4958496,79.13315582,76.80706787,130.7255554,211.2102356,126.1822739,286.7563477,39.2070694
9/1/2020,108.124382,169.608429,212.2552032,79.78686523,76.59952545,130.9550934,210.5078583,127.4981995,286.4618835,39.61388779
9/2/2020,108.5388412,169.6468506,212.3525696,79.9586792,76.68616486,130.9307861,212.1377106,126.4483414,285.1999207,39.3273468
9/3/2020,108.5883942,169.3831329,212.0290527,79.66757965,76.140625,130.2865295,211.7962952,126.3801575,286.5086975,39.39624405
9/4/2020,106.6793823,166.47612,209.6682892,79.65258026,74.77529144,129.1689758,205.3679047,125.9718933,287.4724731,39.79719543
9/8/2020,105.894722,165.2923889,210.4160461,79.73486328,74.43704987,129.74086,202.9260406,126.6048279,287.467804,39.97492218
9/9/2020,102.594635,160.0579376,207.08815,77.33547974,73.49440765,127.5600128,198.1320038,120.366272,287.1766663,39.12624741
9/10/2020,101.6769867,160.3916473,208.4648285,77.03635406,74.44148254,128.2407684,200.0235443,120.8701706,290.2766418,38.93681335
9/11/2020,100.2002029,157.5991364,208.3028107,76.27758026,74.00286102,127.114006,198.3815155,118.1727371,289.0974426,38.39406204
9/14/2020,99.45732117,156.2391968,209.5689087,76.09629059,73.92107391,126.9212112,196.3283844,117.1590271,288.4447632,38.43070221
9/15/2020,101.4846344,158.7787628,213.3412933,77.69461823,74.21053314,128.1216736,194.8222961,122.2192307,289.4470215,39.10720062
9/16/2020,104.0405045,160.2735748,219.0908966,80.24446869,73.73058319,130.2668457,195.55867,129.2245026,287.6837158,39.62902069
9/17/2020,106.4741974,156.9152222,227.2989502,82.87758636,70.80615997,132.722641,194.5567322,134.4268494,280.9156799,40.35423279
9/18/2020,111.0077896,150.2874756,235.7440643,86.324646,65.95741272,135.8075714,196.2434082,140.2034607,279.5244141,41.3430748
9/21/2020,120.5370789,144.9078979,257.2749634,94.73531342,56.93759155,143.4918976,199.8499298,168.5703888,294.6215515,45.14339447
9/22/2020,126.5250931,137.4696655,269.0276489,96.24953461,53.012146,147.2858582,199.3718109,178.8513947,297.2452393,46.41176605
9/23/2020,122.8210297,135.5800476,261.1183167,91.53970337,53.02614212,145.1545258,202.4215393,169.1813049,296.535675,43.66079712
9/24/2020,115.4721909,130.6852264,251.3806,87.19651031,52.04109573,140.5249786,197.5222931,148.468811,296.8747253,40.55719757
9/25/2020,109.9781113,128.5891418,241.7663116,84.883255,53.74022293,138.0234375,191.8279419,133.1425629,291.489624,38.99472809
9/28/2020,108.4580536,132.2893066,236.5099792,83.78357697,56.09143829,136.4666901,192.4863892,127.1014328,288.9708862,38.14097595
9/29/2020,107.1098633,137.4061584,230.6988678,81.00993347,60.2243309,134.2440033,194.6858978,123.4054794,286.4511108,36.94274139
9/30/2020,101.9434433,142.122467,219.2466431,77.98865509,65.14874268,130.1683502,191.322464,115.1959839,278.9932556,35.92867279
10/1/2020,100.6276474,145.0943451,222.6233215,78.70529175,65.75453949,129.3716278,193.3254089,118.6643372,283.8274841,35.82640839
10/2/2020,100.1178589,145.9848022,224.7781525,79.45613098,66.34028625,130.0365295,196.0768433,121.1769943,284.083313,36.11889648
10/5/2020,97.94432068,143.4966583,222.4112244,78.74461365,66.21526337,128.5590973,190.9235077,118.6123428,284.8423157,36.16803741
10/6/2020,98.63404083,147.1913605,222.9463959,78.98405457,67.18148804,129.1817017,193.2913055,120.0235977,286.0208435,36.31166077
10/7/2020,96.45391846,144.7000275,219.5597992,78.0254364,67.09094238,127.4727859,190.2513733,116.0948029,284.7411194,35.88567352
10/8/2020,98.48717499,146.7897491,222.1893311,78.87969208,67.14204407,129.4480591,191.6253357,120.3995743,286.8669128,36.43235397
10/9/2020,99.70550537,148.6956329,222.6069794,79.56595612,67.19129944,131.082077,192.9534454,124.1687546,287.280365,37.02191162
10/12/2020,100.9288864,151.2258301,223.4944611,80.58777618,67.10597992,131.9976501,196.9164734,126.6576996,285.9469299,37.26831818
10/13/2020,101.8676987,152.6539764,224.3977509,81.75933075,66.84411621,131.9661865,201.1392212,128.603653,283.5848694,36.90631104
10/14/2020,100.6503754,152.9279327,220.6183472,81.25474548,68.77565765,131.0223236,204.4359894,124.5032501,275.6386108,35.94969559
10/15/2020,101.0462418,157.2355042,216.3677368,80.84963989,70.76694489,131.098175,204.7791901,124.3362045,274.2259521,35.88507462
10/16/2020,101.9564896,160.8316803,211.4809265,79.95682526,72.06771088,130.7094269,203.1543579,123.2431488,277.881134,36.37263107
10/19/2020,101.732872,161.1683197,210.6563721,79.5944519,72.73298645,130.9309845,202.6191254,123.2323608,279.274292,36.51848984
10/20/2020,100.4537354,158.5215607,208.5108948,78.23139954,72.86798859,129.9937439,198.6276855,118.6996384,279.7176514,36.51850891
10/21/2020,99.40896606,157.3455963,206.4384613,77.07939148,73.49810791,129.5099945,196.3354797,115.6406708,281.3507385,36.24551773
10/22/2020,98.3298111,156.637207,204.8001251,76.40467834,74.27771759,129.3798523,195.8282471,113.8645248,282.3544922,35.80838776
10/23/2020,97.1780777,157.0613861,204.8906097,76.28616333,74.97750854,129.8481903,194.9859467,114.0037918,285.4077454,36.14507294
10/26/2020,96.74843597,157.2708588,205.0672302,76.03005219,75.46154785,130.1379089,195.3455353,113.1190262,287.5692444,36.40378189
10/27/2020,94.88362885,153.2825623,204.0241241,74.83673859,75.12715912,128.9869232,192.3878937,107.5655441,285.6075745,35.93478012
10/28/2020,94.36146545,153.1913757,204.2363892,74.80266571,75.43549347,129.0525818,194.1057587,105.7094193,285.0101929,35.83878326
10/29/2020,91.41962433,146.3554382,202.8654022,72.88993835,73.88241577,127.1224747,186.7394257,98.28920746,280.6044922,35.610672
10/30/2020,90.54304504,145.6372833,201.5661163,72.45570374,73.44491577,126.6831284,186.3810883,96.54172516,277.9738464,35.31795502
11/2/2020,89.26514435,141.5048523,200.6997528,72.34078217,72.60111237,124.8938675,184.576828,91.30632782,269.9306335,34.80232239
11/3/2020,88.90543365,141.9957123,201.9099579,72.32008362,72.80870819,125.9328537,182.5097504,94.25089264,271.1060791,35.42955017
11/4/2020,90.55242157,145.157608,204.3464661,73.31197357,73.6259079,127.5609589,184.0896149,99.41517639,275.7195129,35.8904686
11/5/2020,92.9213028,148.0756226,205.4554138,74.53160858,73.7803421,126.776474,192.0842896,100.8617096,276.3425598,35.01862335
11/6/2020,94.65911102,151.794281,205.6948547,75.46481323,74.70484924,127.4769669,197.2259827,103.815834,279.4472046,35.03684616
11/9/2020,95.24888611,153.5509338,205.7070618,75.98184204,75.09611511,128.0125122,198.3895264,106.3243179,280.8506165,35.30636978
11/10/2020,95.46138763,152.5509491,208.1594849,76.61305237,74.18178558,128.0553436,195.3708496,109.2957306,280.9049988,35.88005066
11/11/2020,94.67332458,152.7286072,209.2105865,77.13168335,74.00106049,129.47612,191.223938,111.6700974,280.7656555,37.20586014
11/12/2020,96.16739655,154.944519,209.5841675,77.16802979,73.95536804,130.2245331,193.0341339,114.6894379,281.7623596,37.75082779
11/13/2020,96.76869202,155.2360992,209.0413666,76.78440857,73.88813782,129.9776764,193.9680328,115.2027664,282.0396423,37.8310318
11/16/2020,96.93034363,155.6306915,209.4874725,77.0553894,73.81140137,130.0683136,194.5648956,115.9350586,282.0691223,38.01295471
11/17/2020,96.9514389,155.3657074,210.3237457,77.34190369,73.56637573,130.056427,194.9063416,116.1477737,281.9311218,38.2204628
11/18/2020,97.50584412,156.4216003,213.2560577,78.3896637,73.66625977,130.9810791,195.5111694,118.90979,282.8113098,38.88508224
